,party,region,result,council
1058, Партія промисловців і підприємців України , Одеська область," 1,9 ",Тарутинська районна рада
1059," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Одеська область," 1,9 ",Тарутинська районна рада
1060, Соціалістична партія України , Одеська область," 18,2 ",Савранська районна рада
1061," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Одеська область," 11,4 ",Савранська районна рада
1062, Народна Партія , Одеська область," 4,5 ",Савранська районна рада
1063," Політична партія ""Фронт Змін""  ", Одеська область," 4,5 ",Савранська районна рада
1064, Партія Пенсіонерів України , Одеська область," 2,2 ",Саратська районна рада
1065," Політична партія ""Народна Самооборона"" ", Одеська область," 2,2 ",Саратська районна рада
1066, Соціалістична партія України , Кіровоградська область," 3,8 ",Бобринецька районна рада
1067," Політична партія ""Нова політика"" ", Кіровоградська область," 1,9 ",Бобринецька районна рада
1068, Партія регіонів , Одеська область, 55 ,Роздільнянська районна рада
1069, Партія регіонів , Одеська область," 30,8 ",Миколаївська районна рада
1070, Партія регіонів , Одеська область," 51,6 ",Ренійська районна рада
1071, Партія регіонів , Одеська область, 50 ,Овідіопольська районна рада
1072, Партія регіонів , Одеська область," 62,5 ",Любашівська районна рада
1073, Народна Партія , Одеська область," 22,5 ",Роздільнянська районна рада
1074," Політична партія ""Сильна Україна"" ", Одеська область, 10 ,Роздільнянська районна рада
1075," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Одеська область, 5 ,Роздільнянська районна рада
1076," Політична партія ""Наша Україна"" ", Одеська область, 5 ,Роздільнянська районна рада
1077, Соціалістична партія України , Одеська область," 2,5 ",Роздільнянська районна рада
1078, Народна Партія , Одеська область," 26,9 ",Миколаївська районна рада
1079, Соціалістична партія України , Одеська область," 15,4 ",Миколаївська районна рада
1080," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Одеська область," 11,5 ",Миколаївська районна рада
1081," Політична партія ""Фронт Змін""  ", Одеська область," 11,5 ",Миколаївська районна рада
1082, Народна Партія , Одеська область," 19,4 ",Ренійська районна рада
1083," Політична партія ""Сильна Україна"" ", Одеська область," 9,7 ",Ренійська районна рада
1084, Соціалістична партія України , Одеська область," 6,5 ",Ренійська районна рада
1085, Комуністична партія України , Одеська область," 3,2 ",Ренійська районна рада
1086, Партія Пенсіонерів України , Одеська область," 3,2 ",Ренійська районна рада
1087," Політична партія ""Фронт Змін""  ", Одеська область," 3,2 ",Ренійська районна рада
1088," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Одеська область, 15 ,Овідіопольська районна рада
1089, Соціалістична партія України , Одеська область, 15 ,Овідіопольська районна рада
1090," Політична партія ""Сильна Україна"" ", Одеська область, 10 ,Овідіопольська районна рада
1091, Партія Зелених України , Одеська область, 5 ,Овідіопольська районна рада
1092, Народна Партія , Одеська область," 21,9 ",Любашівська районна рада
1093," Політична партія ""Сильна Україна"" ", Одеська область," 9,4 ",Любашівська районна рада
1094," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Одеська область," 6,3 ",Любашівська районна рада
1095, Партія регіонів , Одеська область," 77,8 ",Котовська районна рада
1096, Партія регіонів , Одеська область," 52,2 ",Комінтернівська районна рада
1097, Партія регіонів , Одеська область," 43,3 ",Красноокнянська районна рада
1098, Українська Народна Партія , Одеська область," 3,8 ",Миколаївська районна рада
1099, Селянська партія України , Одеська область," 3,2 ",Ренійська районна рада
1100, Аграрна партія України , Одеська область," 2,5 ",Овідіопольська районна рада
1101," Партія ""РОДИНА"" ", Одеська область," 2,5 ",Овідіопольська районна рада
1102, Народна Партія , Одеська область," 11,1 ",Котовська районна рада
1103, Соціалістична партія України , Одеська область," 5,6 ",Котовська районна рада
1104, Комуністична партія України , Одеська область," 2,8 ",Котовська районна рада
1105," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Одеська область," 2,8 ",Котовська районна рада
1106," Партія ""Жінки за майбутнє"" Всеукраїнське політичне об'єднання ", Одеська область," 17,4 ",Комінтернівська районна рада
1107," Політична партія ""Сильна Україна"" ", Одеська область," 10,9 ",Комінтернівська районна рада
1108, Народна Партія , Одеська область," 4,3 ",Комінтернівська районна рада
1109," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Одеська область," 4,3 ",Комінтернівська районна рада
1110, Соціалістична партія України , Одеська область," 4,3 ",Комінтернівська районна рада
1111, Комуністична партія України , Одеська область," 2,2 ",Комінтернівська районна рада
1112," Політична партія ""Наша Україна"" ", Одеська область," 16,7 ",Красноокнянська районна рада
1113, Народна Партія , Одеська область," 13,3 ",Красноокнянська районна рада
1114," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Одеська область," 13,3 ",Красноокнянська районна рада
1115, Соціалістична партія України , Одеська область, 10 ,Красноокнянська районна рада
1116, Комуністична партія України , Одеська область," 3,3 ",Красноокнянська районна рада
1117," Політична партія ""Фронт Змін""  ", Одеська область," 2,2 ",Комінтернівська районна рада
1118, Самовисування , Одеська область," 2,2 ",Комінтернівська районна рада
1119, Партія регіонів , Одеська область," 55,3 ",Кодимська районна рада
1120, Народна Партія , Одеська область," 15,8 ",Кодимська районна рада
1121, Соціалістична партія України , Одеська область," 15,8 ",Кодимська районна рада
1122, Комуністична партія України , Одеська область," 5,3 ",Кодимська районна рада
1123," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Одеська область," 5,3 ",Кодимська районна рада
1124," Політична партія ""Фронт Змін""  ", Одеська область," 2,6 ",Кодимська районна рада
1125, Партія регіонів , Одеська область," 57,7 ",Іванівська районна рада
1126, Партія регіонів , Одеська область," 54,2 ",Великомихайлівська районна рада
1127," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Одеська область," 15,4 ",Іванівська районна рада
1128, Комуністична партія України , Одеська область," 7,7 ",Іванівська районна рада
1129, Народна Партія , Одеська область," 7,7 ",Іванівська районна рада
1130," Політична партія ""Наша Україна"" ", Одеська область," 20,8 ",Великомихайлівська районна рада
1131, Народна Партія , Одеська область," 10,4 ",Великомихайлівська районна рада
1132," Політична партія ""Фронт Змін""  ", Одеська область," 6,3 ",Великомихайлівська районна рада
1133, Комуністична партія України , Одеська область," 4,2 ",Великомихайлівська районна рада
1134, Соціалістична партія України , Одеська область," 7,7 ",Іванівська районна рада
1135," Політична партія ""Наша Україна"" ", Одеська область," 3,8 ",Іванівська районна рада
1136, Партія регіонів , Одеська область," 52,6 ",Ізмаїльська районна рада
1137," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Одеська область," 2,1 ",Великомихайлівська районна рада
1138," Політична партія ""Сильна Україна"" ", Одеська область," 2,1 ",Великомихайлівська районна рада
1139, Партія регіонів , Одеська область," 60,5 ",Болградська районна рада
1140, Партія регіонів , Одеська область, 70 ,Кілійська районна рада
1141, Народна Партія , Одеська область," 18,4 ",Ізмаїльська районна рада
1142, Соціалістична партія України , Одеська область," 13,2 ",Ізмаїльська районна рада
1143," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Одеська область," 7,9 ",Ізмаїльська районна рада
1144," Політична партія ""Сильна Україна"" ", Одеська область," 5,3 ",Ізмаїльська районна рада
1145, Партія регіонів , Одеська область," 62,5 ",Біляївська районна рада
1146, Комуністична партія України , Одеська область," 10,5 ",Болградська районна рада
1147, Народна Партія , Одеська область," 10,5 ",Болградська районна рада
1148," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Одеська область," 5,3 ",Болградська районна рада
1149," Політична партія ""Сильна Україна"" ", Одеська область," 3,9 ",Болградська районна рада
1150, Партія регіонів , Одеська область," 53,7 ",Білгород-Дністровська районна рада
1151, Соціалістична партія України , Одеська область," 8,3 ",Кілійська районна рада
1152," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Одеська область, 5 ,Кілійська районна рада
1153," Політична партія ""Фронт Змін""  ", Одеська область, 5 ,Кілійська районна рада
1154, Комуністична партія України , Одеська область," 2,6 ",Ізмаїльська районна рада
1155," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Одеська область," 10,2 ",Біляївська районна рада
1156, Народна Партія , Одеська область," 9,1 ",Біляївська районна рада
1157," Політична партія ""Сильна Україна"" ", Одеська область," 6,8 ",Біляївська районна рада
1158," Політична партія ""Фронт Змін""  ", Одеська область," 4,5 ",Біляївська районна рада
1159, Партія Пенсіонерів України , Одеська область," 2,6 ",Болградська районна рада
1160, Соціалістична партія України , Одеська область," 2,6 ",Болградська районна рада
1161, Єдиний Центр , Одеська область," 1,3 ",Болградська районна рада
1162," Політична партія ""Сильна Україна"" ", Одеська область," 14,8 ",Білгород-Дністровська районна рада
1163, Соціалістична партія України , Одеська область," 11,1 ",Білгород-Дністровська районна рада
1164, Народна Партія , Одеська область," 5,6 ",Білгород-Дністровська районна рада
1165, Комуністична партія України , Одеська область," 3,7 ",Білгород-Дністровська районна рада
1166, Комуністична партія України , Одеська область," 3,3 ",Кілійська районна рада
1167," Партія ""Єдина Україна"" ", Одеська область," 3,3 ",Кілійська районна рада
1168," Політична партія ""Сильна Україна"" ", Одеська область," 3,3 ",Кілійська районна рада
1169, Комуністична партія України , Одеська область," 2,3 ",Біляївська районна рада
1170," Партія ""РОДИНА"" ", Одеська область," 2,3 ",Біляївська районна рада
1171, Соціалістична партія України , Одеська область," 2,3 ",Біляївська районна рада
1172," Партія ""ВІДРОДЖЕННЯ"" ", Одеська область," 1,3 ",Болградська районна рада
1173," Українська партія честі, боротьби з корупцією та організованою злочинністю ", Одеська область," 1,3 ",Болградська районна рада
1174," ""Партія селян"" ", Одеська область," 3,7 ",Білгород-Дністровська районна рада
1175," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Одеська область," 3,7 ",Білгород-Дністровська районна рада
1176," Політична партія ""За Україну!""  ", Одеська область," 1,9 ",Білгород-Дністровська районна рада
1177," Політична партія ""Наша Україна"" ", Одеська область," 1,7 ",Кілійська районна рада
1178," Політична партія ""Фронт Змін""  ", Одеська область," 1,9 ",Білгород-Дністровська районна рада
1179, Партія регіонів , Одеська область," 52,5 ",Березівська районна рада
1180, Партія регіонів , Одеська область, 42 ,Балтська районна рада
1181, Партія регіонів , Одеська область," 69,4 ",Арцизька районна рада
1182, Соціалістична партія України , Одеська область, 20 ,Березівська районна рада
1183," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Одеська область," 12,5 ",Березівська районна рада
1184, Народна Партія , Одеська область, 10 ,Березівська районна рада
1185, Комуністична партія України , Одеська область," 2,5 ",Березівська районна рада
1186, Соціалістична партія України , Одеська область, 14 ,Балтська районна рада
1187, Народна Партія , Одеська область, 12 ,Балтська районна рада
1188," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Одеська область, 10 ,Балтська районна рада
1189, Українська Народна Партія , Одеська область, 6 ,Балтська районна рада
1190, Комуністична партія України , Одеська область, 4 ,Балтська районна рада
1193, Народна Партія , Одеська область," 11,1 ",Арцизька районна рада
1194, Соціалістична партія України , Одеська область," 11,1 ",Арцизька районна рада
1195," Політична партія ""Сильна Україна"" ", Одеська область," 5,6 ",Арцизька районна рада
1196, Комуністична партія України , Одеська область," 2,8 ",Арцизька районна рада
1200," Політична партія ""Фронт Змін""  ", Одеська область," 2,5 ",Березівська районна рада
1201," Політична партія ""Фронт Змін""  ", Одеська область, 4 ,Балтська районна рада
1202, Партія промисловців і підприємців України , Одеська область, 2 ,Балтська районна рада
1203," Політична партія ""За Україну!""  ", Одеська область, 2 ,Балтська районна рада
1204," Політична партія ""Сильна Україна"" ", Одеська область, 2 ,Балтська районна рада
1223, Самовисування , Одеська область, 2 ,Балтська районна рада
1250, Партія регіонів , Одеська область," 53,3 ",Ананьївська районна рада
1253, Народна Партія , Одеська область," 23,3 ",Ананьївська районна рада
1254, Соціалістична партія України , Одеська область, 10 ,Ананьївська районна рада
1255, Єдиний Центр , Одеська область," 6,7 ",Ананьївська районна рада
1256," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Одеська область," 6,7 ",Ананьївська районна рада
1688, Партія регіонів , Дніпропетровська область," 61,5 ",Царичанська районна рада
1696," Політична партія ""Фронт Змін""  ", Дніпропетровська область," 19,2 ",Царичанська районна рада
1697, Народна Партія , Дніпропетровська область," 11,5 ",Царичанська районна рада
1698," Політична партія ""Сильна Україна"" ", Дніпропетровська область," 7,7 ",Царичанська районна рада
1699, Партія регіонів , Дніпропетровська область," 58,3 ",Юр'ївська районна рада
1703, Партія регіонів , Дніпропетровська область," 72,7 ",Широківська районна рада
1713," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Дніпропетровська область," 20,8 ",Юр'ївська районна рада
1714," Політична партія Всеукраїнське об’єднання ""Громада"" ", Дніпропетровська область," 16,7 ",Юр'ївська районна рада
1715, Комуністична партія України , Дніпропетровська область," 4,2 ",Юр'ївська районна рада
1720," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Дніпропетровська область," 6,8 ",Широківська районна рада
1721, Комуністична партія України , Дніпропетровська область," 4,5 ",Широківська районна рада
1722, Народна Партія , Дніпропетровська область," 4,5 ",Широківська районна рада
1736," Політична партія ""Сильна Україна"" ", Дніпропетровська область," 4,5 ",Широківська районна рада
1737," Політична партія ""Фронт Змін""  ", Дніпропетровська область," 4,5 ",Широківська районна рада
1738," Політична партія Всеукраїнське об’єднання ""Громада"" ", Дніпропетровська область," 2,3 ",Широківська районна рада
1978, Партія регіонів , Дніпропетровська область, 75 ,Софіївська районна рада
1979, Партія регіонів , Дніпропетровська область, 63 ,Синельниківська районна рада
1981, Партія регіонів , Дніпропетровська область," 55,3 ",П'ятихатська районна рада
1982, Народна Партія , Дніпропетровська область," 16,7 ",Софіївська районна рада
1983," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Дніпропетровська область," 8,3 ",Софіївська районна рада
1984," Політична партія ""Сильна Україна"" ", Дніпропетровська область," 10,9 ",Синельниківська районна рада
1985," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Дніпропетровська область," 8,7 ",Синельниківська районна рада
1986, Комуністична партія України , Дніпропетровська область," 6,5 ",Синельниківська районна рада
1987, Партія регіонів , Дніпропетровська область," 45,5 ",Покровська районна рада
1992, Народна Партія , Дніпропетровська область," 15,8 ",П'ятихатська районна рада
1993, Комуністична партія України , Дніпропетровська область," 10,5 ",П'ятихатська районна рада
1994," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Дніпропетровська область," 7,9 ",П'ятихатська районна рада
1995, Народна Партія , Дніпропетровська область," 6,5 ",Синельниківська районна рада
1996," Політична партія ""Україна Майбутнього"" ", Дніпропетровська область," 4,3 ",Синельниківська районна рада
1997, Народна Партія , Дніпропетровська область," 15,9 ",Покровська районна рада
1998," Політична партія ""Україна Майбутнього"" ", Дніпропетровська область," 13,6 ",Покровська районна рада
1999," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Дніпропетровська область," 9,1 ",Покровська районна рада
2003," Політична партія ""Сильна Україна"" ", Дніпропетровська область," 7,9 ",П'ятихатська районна рада
2004, Соціалістична партія України , Дніпропетровська область," 2,6 ",П'ятихатська районна рада
2005, Комуністична партія України , Дніпропетровська область," 6,8 ",Покровська районна рада
2006," Політична партія ""Наша Україна"" ", Дніпропетровська область," 4,5 ",Покровська районна рада
2007, Аграрна партія України , Дніпропетровська область," 2,3 ",Покровська районна рада
2012," Політична партія ""Сильна Україна"" ", Дніпропетровська область," 2,3 ",Покровська районна рада
2013, Партія регіонів , Дніпропетровська область, 72 ,Павлоградська районна рада
2014," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Дніпропетровська область, 16 ,Павлоградська районна рада
2015," Політична партія ""Сильна Україна"" ", Дніпропетровська область, 8 ,Павлоградська районна рада
2016, Комуністична партія України , Дніпропетровська область, 4 ,Павлоградська районна рада
2017, Партія регіонів , Дніпропетровська область," 65,4 ",Петропавлівська районна рада
2018, Партія регіонів , Дніпропетровська область," 66,7 ",Петриківська районна рада
2019," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Дніпропетровська область," 11,5 ",Петропавлівська районна рада
2020, Комуністична партія України , Дніпропетровська область," 7,7 ",Петропавлівська районна рада
2021, Народна Партія , Дніпропетровська область," 7,7 ",Петропавлівська районна рада
2022," Політична партія ""Сильна Україна"" ", Дніпропетровська область," 7,7 ",Петропавлівська районна рада
2023," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Дніпропетровська область," 11,1 ",Петриківська районна рада
2024, Комуністична партія України , Дніпропетровська область," 8,3 ",Петриківська районна рада
2025, Народна Партія , Дніпропетровська область," 5,6 ",Петриківська районна рада
2026," Політична партія ""Фронт Змін""  ", Дніпропетровська область," 5,6 ",Петриківська районна рада
2027, Партія регіонів , Дніпропетровська область," 65,4 ",Томаківська районна рада
2028, Партія регіонів , Дніпропетровська область," 78,1 ",Нікопольська районна рада
2029," Політична партія ""Сильна Україна"" ", Дніпропетровська область," 2,8 ",Петриківська районна рада
2030," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Дніпропетровська область," 15,4 ",Томаківська районна рада
2031," Політична партія ""Сильна Україна"" ", Дніпропетровська область," 11,5 ",Томаківська районна рада
2032, Народна Партія , Дніпропетровська область," 7,7 ",Томаківська районна рада
2033," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Дніпропетровська область," 6,3 ",Нікопольська районна рада
2034," Політична партія ""Сильна Україна"" ", Дніпропетровська область," 6,3 ",Нікопольська районна рада
2035, Комуністична партія України , Дніпропетровська область," 3,1 ",Нікопольська районна рада
2036, Народна Партія , Дніпропетровська область," 3,1 ",Нікопольська районна рада
2037, Партія регіонів , Дніпропетровська область," 81,6 ",Новомосковська районна рада
2038, Партія регіонів , Дніпропетровська область, 65 ,Солонянська районна рада
2039," Політична партія ""Наша Україна"" ", Дніпропетровська область," 3,1 ",Нікопольська районна рада
2040," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Дніпропетровська область," 5,3 ",Новомосковська районна рада
2041," Політична партія Всеукраїнське об’єднання ""Громада"" ", Дніпропетровська область," 5,3 ",Новомосковська районна рада
2042," Політична партія ""Сильна Україна"" ", Дніпропетровська область," 5,3 ",Новомосковська районна рада
2043, Комуністична партія України , Дніпропетровська область," 2,6 ",Новомосковська районна рада
2044, Комуністична партія України , Дніпропетровська область, 10 ,Солонянська районна рада
2045," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Дніпропетровська область, 10 ,Солонянська районна рада
2046, Народна Партія , Дніпропетровська область, 5 ,Солонянська районна рада
2047," Політична партія ""Сильна Україна"" ", Дніпропетровська область, 5 ,Солонянська районна рада
2048, Єдиний Центр , Дніпропетровська область," 2,5 ",Солонянська районна рада
2049," Політична партія Всеукраїнське об’єднання ""Громада"" ", Дніпропетровська область," 2,5 ",Солонянська районна рада
2050, Партія регіонів , Дніпропетровська область," 61,4 ",Магдалинівська районна рада
2051," Політична партія Всеукраїнське об’єднання ""Громада"" ", Дніпропетровська область," 18,2 ",Магдалинівська районна рада
2052, Комуністична партія України , Дніпропетровська область," 6,8 ",Магдалинівська районна рада
2053," Політична партія ""Сильна Україна"" ", Дніпропетровська область," 6,8 ",Магдалинівська районна рада
2054, Партія регіонів , Дніпропетровська область," 64,3 ",Криничанська районна рада
2055, Народна Партія , Дніпропетровська область," 4,5 ",Магдалинівська районна рада
2056," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Дніпропетровська область," 2,3 ",Магдалинівська районна рада
2057," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Дніпропетровська область," 11,9 ",Криничанська районна рада
2058, Комуністична партія України , Дніпропетровська область," 7,1 ",Криничанська районна рада
2059," Політична партія ""Фронт Змін""  ", Дніпропетровська область," 7,1 ",Криничанська районна рада
2060, Партія регіонів , Дніпропетровська область," 65,9 ",Межівська районна рада
2061, Партія регіонів , Дніпропетровська область," 70,6 ",Дніпропетровська районна рада
2062, Партія регіонів , Дніпропетровська область," 76,3 ",Криворізька районна рада
2064," Політична партія ""Сильна Україна"" ", Дніпропетровська область," 4,8 ",Криничанська районна рада
2065," Політична партія ""Наша Україна"" ", Дніпропетровська область," 2,4 ",Криничанська районна рада
2066, Самовисування , Дніпропетровська область," 2,4 ",Криничанська районна рада
2067, Комуністична партія України , Дніпропетровська область," 11,4 ",Межівська районна рада
2068," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Дніпропетровська область," 9,1 ",Межівська районна рада
2069," Політична партія ""Сильна Україна"" ", Дніпропетровська область," 9,1 ",Межівська районна рада
2070," Політична партія ""Сильна Україна"" ", Дніпропетровська область," 11,8 ",Дніпропетровська районна рада
2071," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Дніпропетровська область," 8,8 ",Дніпропетровська районна рада
2072," Політична партія ""Фронт Змін""  ", Дніпропетровська область," 5,9 ",Дніпропетровська районна рада
2073, Комуністична партія України , Дніпропетровська область," 10,5 ",Криворізька районна рада
2074," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Дніпропетровська область," 5,3 ",Криворізька районна рада
2075, Народна Партія , Дніпропетровська область," 2,6 ",Криворізька районна рада
2076, Партія регіонів , Дніпропетровська область," 73,3 ",Верхньодніпровська районна рада
2080, Соціалістична партія України , Дніпропетровська область," 4,5 ",Межівська районна рада
2081, Партія регіонів , Дніпропетровська область," 80,8 ",Васильківська районна рада
2082," Політична партія Всеукраїнське об’єднання ""Громада"" ", Дніпропетровська область," 2,9 ",Дніпропетровська районна рада
2083," Політична партія ""Сильна Україна"" ", Дніпропетровська область," 2,6 ",Криворізька районна рада
2084," Політична партія ""Фронт Змін""  ", Дніпропетровська область," 2,6 ",Криворізька районна рада
2085," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Дніпропетровська область, 10 ,Верхньодніпровська районна рада
2086," Політична партія ""Сильна Україна"" ", Дніпропетровська область," 6,7 ",Верхньодніпровська районна рада
2087, Комуністична партія України , Дніпропетровська область," 3,3 ",Верхньодніпровська районна рада
2088, Народна Партія , Дніпропетровська область," 3,3 ",Верхньодніпровська районна рада
2093," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Дніпропетровська область," 15,4 ",Васильківська районна рада
2094," Політична партія ""Сильна Україна"" ", Дніпропетровська область," 3,8 ",Васильківська районна рада
2095," Політична партія ""Фронт Змін""  ", Дніпропетровська область," 3,3 ",Верхньодніпровська районна рада
2284, Партія регіонів , Дніпропетровська область," 47,9 ",Апостолівська районна рада
2300, Народна Партія , Дніпропетровська область," 12,5 ",Апостолівська районна рада
2301, Комуністична партія України , Дніпропетровська область," 8,3 ",Апостолівська районна рада
2302," Політична партія ""Сильна Україна"" ", Дніпропетровська область," 6,3 ",Апостолівська районна рада
2303," Політична партія ""Фронт Змін""  ", Дніпропетровська область," 6,3 ",Апостолівська районна рада
2304," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Дніпропетровська область," 4,2 ",Апостолівська районна рада
2329," Політична партія Всеукраїнське об’єднання ""Громада"" ", Дніпропетровська область," 4,2 ",Апостолівська районна рада
2330," Політична партія ""Україна Майбутнього"" ", Дніпропетровська область," 4,2 ",Апостолівська районна рада
2331, Українська Народна Партія , Дніпропетровська область," 4,2 ",Апостолівська районна рада
2332, Аграрна партія України , Дніпропетровська область," 2,1 ",Апостолівська районна рада
2367, Партія регіонів , Донецька область," 81,3 ",Ясинуватська районна рада
2373, Комуністична партія України , Донецька область," 6,3 ",Ясинуватська районна рада
2374," Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Донецька область," 4,2 ",Ясинуватська районна рада
2375," Політична партія ""Сильна Україна"" ", Донецька область," 4,2 ",Ясинуватська районна рада
2376," Політична партія ""Фронт Змін""  ", Донецька область," 4,2 ",Ясинуватська районна рада
2379, Партія регіонів , Донецька область," 84,4 ",Слов'янська районна рада
